method,controlled_nodes,scenario,mismatch,noise_std,controller_seed,mae,rmse,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
PPO,1,nominal,0.0,0.0,42,1.3929017077164114,1.639961141949339,4.102825080968992,4.519071959704161,252.65480284944405,0.71,
PPO,1,nominal,0.0,0.0,123,1.3968236894584443,1.6398394778738665,4.350579579365382,4.458513381704688,267.3893648764475,0.7538750000000001,
PPO,1,nominal,0.0,0.0,1024,1.3912716272314165,1.622730239288174,4.393983168725247,4.83807479403913,279.42475704674706,0.8196249999999999,
PPO,1-2,nominal,0.0,0.0,42,0.11831583756670808,0.30158400110768957,0.06887729978763758,0.04799532708711918,21.859567316806505,0.025500000000000002,
PPO,1-2,nominal,0.0,0.0,123,0.12298382235526825,0.3005835541631021,0.08866884822778996,0.10107837244868274,20.671304391198245,0.024625,
PPO,1-2,nominal,0.0,0.0,1024,0.10206263958325905,0.2820803050011246,0.04628406993047341,0.04100302727892991,19.300787431028045,0.021750000000000002,
PPO,1-2-3,nominal,0.0,0.0,42,0.01210642822170707,0.07542559875224457,0.010496607539315816,0.010156227648258161,11.018281827930242,0.01008333333333329,
PPO,1-2-3,nominal,0.0,0.0,123,0.01105439249281303,0.07441109324755586,0.007819166957231106,0.007898105611093286,11.007334197826328,0.009999999999999964,
PPO,1-2-3,nominal,0.0,0.0,1024,0.012363407017890675,0.07428272488755015,0.013058728408240836,0.013611634774133515,10.716308554348682,0.00995833333333329,
PPO,1-3,nominal,0.0,0.0,42,0.02340942510632163,0.10241422850269011,0.01069282271136111,0.01050264486111696,11.011431898595532,0.010875,
PPO,1-3,nominal,0.0,0.0,123,0.023784219974562416,0.10139757539134234,0.014117491255456069,0.01150032696314153,10.983060706623949,0.0115625,
PPO,1-3,nominal,0.0,0.0,1024,0.022389049006947066,0.10197676595431385,0.01103334793986972,0.0115865081781521,10.79625435110839,0.0114375,
PPO,2,mismatch,0.5,0.0,42,0.11278173836279641,0.3144582549628343,0.06702606754857512,0.05259701008908446,11.31373486217505,0.027250000000000003,
PPO,2,mismatch,0.5,0.0,123,0.11439996146956129,0.31413943736829003,0.07520834674360226,0.05833060143049802,9.815054617727908,0.023875,
PPO,2,mismatch,0.5,0.0,1024,0.10746429145350858,0.3162486084682287,0.048262700148323436,0.040325700247194576,12.685740987014652,0.033625,
PPO,2,mismatch,1.0,0.0,42,0.1310065178137556,0.32263181101820076,0.10972029149882997,0.09021882091183211,11.280898387191636,0.026375,
PPO,2,mismatch,1.0,0.0,123,0.13259213382369217,0.3226170212019087,0.11667175586824012,0.0853592267259955,9.92396771633811,0.023875,
PPO,2,mismatch,1.0,0.0,1024,0.12306654389500762,0.3229535251862319,0.08245579422419932,0.06571812445763495,12.872971932815778,0.033875,
PPO,2,mismatch,1.5,0.0,42,0.1516503297800859,0.3347892484796247,0.15866803042993038,0.1300875225802883,11.377359602326141,0.026625,
PPO,2,mismatch,1.5,0.0,123,0.1534729360503509,0.33530037322130285,0.16664083015610587,0.12098641628399487,10.103239502301088,0.023875,
PPO,2,mismatch,1.5,0.0,1024,0.1408250406650394,0.3329629590631892,0.1194564966180212,0.09249713956378396,13.16138566763396,0.034,
PPO,2,mismatch,2.0,0.0,42,0.1740776022074973,0.35120577188229163,0.2109833749857685,0.17056283729616548,11.638227511032765,0.026750000000000003,
PPO,2,mismatch,2.0,0.0,123,0.17617900616231744,0.35236587081011683,0.2205411701478972,0.15940222251228983,10.355532010082353,0.024125,
PPO,2,mismatch,2.0,0.0,1024,0.16052173283512383,0.3467907500834372,0.15828425761823894,0.12008195397211234,13.542943306737651,0.03475,
PPO,2,noise,0.0,0.01,42,0.11944228887706232,0.2962681654708178,0.12348613592071662,0.13396396180614825,75.46811883246104,0.042875,
PPO,2,noise,0.0,0.01,123,0.11730610803695271,0.2944960139420255,0.11867736528748299,0.12353876988636325,10.785806585568809,0.018625,
PPO,2,noise,0.0,0.01,1024,0.11471178896718592,0.2977331149377703,0.09919291726158307,0.10273089921101923,20.977590663665598,0.026625,
PPO,2,noise,0.0,0.02,42,0.15307082104011252,0.31775005511705284,0.2198851864164074,0.22867592144757504,114.41943213657612,0.1255,
