scenario,node,method,model_name,train_seed,test_seed,mismatch,pulse_step,mae,steady_l1,final_l1,energy_u,saturation_fraction,mean_post_pulse_error
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,100,0.0,-1,0.021083370022783838,0.005847835194687416,0.01441943645477295,5.346805191828404,0.015,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,101,0.0,-1,0.02078209545546353,0.003746379799221033,0.004103393293917179,2.722166452197761,0.0075,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,102,0.0,-1,0.017732700248590864,0.0039038880046221346,0.011597037315368652,4.967613973733734,0.015,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,103,0.0,-1,0.06699216375617095,0.005284436851923848,0.0048097968101501465,5.804947040289177,0.0125,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,104,0.0,-1,0.06735986170431728,0.00660532809805447,0.0034250766038894653,9.710792766360676,0.03,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,105,0.0,-1,0.048655775193735054,0.008366564305982104,0.0026901550590991974,4.82803862888188,0.01,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,106,0.0,-1,0.05340554702363936,0.0032301643578749564,0.004015244543552399,8.091444602637672,0.02,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,107,0.0,-1,0.015851133169741034,0.0056750101244284045,0.011562764644622803,6.287221209008456,0.0175,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,108,0.0,-1,0.045676909694020384,0.006518587777621032,0.0037277601659297943,2.2432499306608302,0.005,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,109,0.0,-1,0.030044951478866294,0.0107087269252925,0.0040339813567698,7.10578096636059,0.0175,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,110,0.0,-1,0.039798115289143766,0.016509754054340315,0.003997191786766052,3.702795918791086,0.01,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,111,0.0,-1,0.07716393679668214,0.006305679900249765,0.004727250896394253,10.24669309395162,0.03,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,112,0.0,-1,0.05802520682124834,0.0054606396222004186,0.009765565395355225,5.228829092340512,0.005,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,113,0.0,-1,0.051216557056039995,0.009846867746271101,0.018486738204956055,11.395480313813959,0.03,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,114,0.0,-1,0.032830231483264714,0.004445820920353318,0.005173414945602417,3.500143810140627,0.005,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,115,0.0,-1,0.04329457526762543,0.015111936641466102,0.014723360538482666,6.529852359503484,0.015,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,116,0.0,-1,0.021722656941577073,0.015464382775035906,0.013320788741111755,5.714514752926076,0.015,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,117,0.0,-1,0.017789400614455886,0.00391112875342829,0.002855706959962845,5.260027771453013,0.015,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,118,0.0,-1,0.05936876517033061,0.008325337156377456,0.0026110373437404633,2.1709488740665517,0.0025,
nominal,3,PPO,ppo_continuous_hopfield_node3_final_seed_42,42,119,0.0,-1,0.04532150904406466,0.011927977830953436,0.01714712381362915,12.301137541356862,0.035,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,100,0.0,-1,0.04621949775689471,0.08330633755727315,0.03622567653656006,3.6476043746916558,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,101,0.0,-1,0.0397136762497462,0.10382338943258848,0.09192920476198196,1.5098741393616448,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,102,0.0,-1,0.04171450081469486,0.09923549413244113,0.010654807090759277,4.694293913023046,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,103,0.0,-1,0.10422934771144603,0.09894762512434412,0.1521565020084381,4.731818395473729,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,104,0.0,-1,0.08118054594075058,0.08364285246963486,0.07144664227962494,7.021459449991977,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,105,0.0,-1,0.06234422638541643,0.0755959874432948,0.13510538637638092,3.7179474806446566,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,106,0.0,-1,0.08870373299215314,0.09180303714755508,0.08569718059152365,5.32207976675048,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,107,0.0,-1,0.03386101209467969,0.08235654179696683,0.025295495986938477,5.269178539709136,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,108,0.0,-1,0.06128939400455687,0.08410793882047321,0.07258657738566399,0.8560073484790478,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,109,0.0,-1,0.04869692686849203,0.0960998115601179,0.05608387663960457,5.593717528545051,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,110,0.0,-1,0.06163081768218889,0.07672315748569405,0.16253811120986938,2.225918985114535,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,111,0.0,-1,0.09171069435758249,0.09770305985354899,0.09574480727314949,8.823280939003856,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,112,0.0,-1,0.08337779230641779,0.08999412796563572,0.04974895715713501,4.746051431414043,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,113,0.0,-1,0.0764249798765132,0.09899327060046756,0.09539633989334106,10.437715203708148,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,114,0.0,-1,0.05564040238701941,0.10981816084434588,0.08877555280923843,0.8257473386134506,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,115,0.0,-1,0.05988281907889983,0.05661526011923949,0.035055384039878845,4.6826285465052875,0.0,
nominal,3,SAC,sac_continuous_hopfield_node3_screen_100000steps_seed_42,42,116,0.0,-1,0.03981009352346843,0.04926007103036951,0.05597195029258728,3.953898499376811,0.0,
